dataset,subset_dataset,variant,query_index,question,repair_em,repair_f1,repair_empty_answer,setr_em,setr_f1,dbec_em,dbec_f1,rank_fill5_available,rank_fill5_em,rank_fill5_f1,delta_em_vs_setr,delta_f1_vs_setr,delta_em_vs_dbec,delta_f1_vs_dbec,delta_em_vs_rank_fill5,delta_f1_vs_rank_fill5,accepted_repair_count,accepted_repair_titles_json,offline_final_support_recall,offline_final_support_complete,offline_rank_support_recall,offline_rank_support_complete,offline_net_gold_delta_vs_rank,offline_harmful_replacement
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,469,"Which film has the director died first, Ask A Policeman or The Half-Naked Truth?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Helmut Weiss""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,472,"Which film whose director is younger, Return Of The Hero or Home In Indiana?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Édouard Niermans (director)""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,473,"Which film has the director born earlier, Comedy! or Ven Mi Corazón Te Llama?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Steno (director)"", ""Manuel Romero""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,485,"Which film whose director is younger, Wolves Of The North or Action In Arabia?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""Konrad Wolf""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,492,"Which film has the director born later, House Of Blackmail or Taxi Zum Klo?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Frank Ripploh"", ""John Cromwell (director)""]",0.75,0,1.0,1,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,499,"Which film has the director born later, Ask A Policeman or The Half-Naked Truth?",0.0,0.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,1,"[""Gregory La Cava""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,502,Are both directors of films Target Zero and Midnight Court (Film) from the same country?,1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1,"[""Harmon Jones""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,505,"Which film has the director born earlier, Did A Good Man Die? or The Last Of The Knucklemen?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Fadil Hadžić"", ""Tim Burstall""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,509,Do both films The Majesty Of The Law and The Taint (Film) have the directors that share the same nationality?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Julia Crawford Ivers""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,530,"Which film has the director who is older, The Gamecock (Film) or Monster A Go-Go?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2,"[""Edward L. Cahn"", ""Herschell Gordon Lewis""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,538,"Which film has the director who died later, The Whisperers or Concert Of Intrigue?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Konrad Wolf"", ""Bryan Forbes""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,541,Are both directors of films The Pit And The Pendulum (1913 Film) and How Sweet It Is! from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Alice Guy-Blaché"", ""Jerry Paris""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,542,Do both A Daughter Of Australia (1922 Film) and Autoerotic (Film) films have the directors from the same country?,1.0,1.0,0,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,"[""Ian Barry (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,552,"Which film has the director died first, Showdown At Boot Hill or The Walls Of Hell?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""The Walls of Hell""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,563,"Which film has the director born later, Je Fais Le Mort or Red Roses, Red Lips, Red Wine?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,564,"Which film has the director who was born later, Five Red Tulips or Laughing At Death?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Five Red Tulips""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,566,"Which film has the producer who is older, Aatma Gowravam or Vitti Dandu?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,581,"Which film has the director died later, Chad Hanna or The Avenging Shadow?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Edward L. Cahn"", ""The Avenging Shadow""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,584,"Which film whose director was born first, Swamp Women or Tracy Rides?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Roger Corman""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,590,"Which film has the director who was born later, Il Diavolo In Convento or The Big Broadcast Of 1936?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Frank Tuttle""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,592,"Which film has the director died later, Modern Husbands or The Fighting Vigilantes?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Ray Taylor (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,611,"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Howard Hawks"", ""Umberto Lenzi""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,616,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Ralph Nelson"", ""The Man in the Funny Suit""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,618,"Which film has the director born earlier, Mummy & Me or Gideon And Samson: Great Leaders Of The Bible?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Marcello Baldi""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,619,"Which film has the director who was born first, Everybody'S Hobby or Ghosts Of Abu Ghraib?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Liz Garbus""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,625,"Which film whose director is younger, Lucky Cowboy or O.K. Connery?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Konrad Wolf""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,630,"Which film has the director died later, Tenth Avenue Angel or Brink Of Life?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Ingmar Bergman"", ""Roy Rowland (film director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,639,"Which film has the director who was born later, A Case Of Honor or The Raggedy Rawney?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,"[""Eddie Romero""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,653,Do director of film Next Of Kin (1982 Film) and director of film Wild Honey (1918 Film) share the same nationality?,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Clarence Brown""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,669,"Which film has the director who died later, Le Foto Proibite Di Una Signora Per Bene or Licenza Premio?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Max Neufeld""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,689,"Which film has the director born later, Life Hits or It'S In The Air?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Anthony Kimmins""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,704,"Which film whose director was born first, Return To Return To Nuke 'Em High Aka Volume 2 or Zameen (2003 Film)?",1.0,1.0,0,0.0,0.888888888888889,1.0,1.0,1,1.0,1.0,1.0,0.11111111111111105,0.0,0.0,0.0,0.0,2,"[""Hassan Zee"", ""Return to Return to Nuke 'Em High AKA Volume 2""]",0.75,0,1.0,1,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,707,Are the directors of films (Romance) In The Digital Age and Les Misérables (1917 Film) both from the same country?,1.0,1.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1,"[""Jason Michael Brescia""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,708,"Which film has the director who is older than the other, Women'S Weapons or She Wants Me?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Rob Margolies"", ""Robert G. Vignola""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,716,"Which film has the director born later, Four For Venice or Gypped In The Penthouse?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Gordon Douglas (director)""]",0.75,0,1.0,1,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,724,Do director of film An Ideal Woman and director of film Goodbye Emmanuelle share the same nationality?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Jean Durand""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,726,Do both directors of films The Measure Of All Things and The Time Of Your Life (Film) share the same nationality?,1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Sam Green""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,735,"Which film whose director is younger, Chased By The Dogs or The Demise Of Herman Durer?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Leon de Winter""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,742,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",0.0,0.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2,"[""Claude Weisz"", ""Arne Toonen""]",0.75,0,1.0,1,-1,1
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,756,"Which film whose director was born first, Meri Jung or La Fille Du Torrent?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Hans Herwig""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,757,Do both directors of films Júdás and The Wilby Conspiracy share the same nationality?,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Michael Curtiz""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,769,"Which film has the director who was born later, It'S A Bikini World or A Moment Of Romance?",1.0,1.0,0,1.0,1.0,0.0,0.0,1,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1,"[""A Moment of Romance III""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,781,"Which film has the director who was born earlier, Pod Banderą Miłości or World In My Corner?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Michał Waszyński"", ""Jesse Hibbs""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,787,"Which film whose director was born first, Bhaji On The Beach or Bugsy?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[],1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,792,"Which film has the director who was born later, Alludugaru or The Laughing Woman?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""K. Raghavendra Rao"", ""The Laughing Woman""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,795,"Which film whose director was born first, Apasionadamente or The Blue Bead?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Ertem Eğilmez""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,796,"Which film whose director is younger, Kalippava or A Couch In New York?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Sanal Kumar Sasidharan"", ""Chantal Akerman""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,801,"Which film whose director was born first, The Last Paradises: On The Track Of Rare Animals or Waterlily Jaguar?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Eugen Schuhmacher"", ""Melora Walters""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,803,"Which film has the director who was born later, Sylvie Et Le Fantôme or Sky Patrol?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Claude Autant-Lara"", ""Howard Bretherton""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,814,"Which film has the director who was born earlier, The Appeal To Conscience or Pretty Persuasion?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Marcos Siega"", ""The Appeal to Conscience""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,831,"Which film whose director is younger, Keep 'Em Rolling or Balipeetam?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""George Archainbaud"", ""Dasari Narayana Rao""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,833,"Which film has the director who was born earlier, Day Of The Cobra or Time Of Roses?",1.0,1.0,0,0.0,0.3333333333333333,1.0,1.0,1,0.0,0.3333333333333333,1.0,0.6666666666666667,0.0,0.0,1.0,0.6666666666666667,1,"[""Risto Jarva""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,834,"Which film whose director is younger, My Baby'S Daddy or A Tale Of Winter?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Cheryl Dunye"", ""Éric Rohmer""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,838,"Which film has the director died earlier, The Mark Of The Renegade or Muchachas Que Estudian?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Manuel Romero"", ""Hugo Fregonese""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,865,"Which film has the director born first, Killer: Dead Or Alive or Adultery: A User'S Guide?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,2,"[""Christine Pascal"", ""Scott Shaw""]",1.0,1,0.5,0,2,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,869,"Which film has the director who was born later, Así En El Cielo Como En La Tierra or Buck And The Preacher?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""José Luis Cuerda""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,871,Do director of film D'Annunzio (Film) and director of film Così Parlò Bellavista have the same nationality?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Sergio Nasca""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,873,"Which film has the director born first, Shadows In Paradise or Dog Law?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Aki Kaurismäki""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,876,"Which film has the director who was born first, Piccoli Fuochi or The Nice Guys?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Duilio Coletti""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,882,"Which film has the director died later, Calling Philo Vance or The Witch'S Curse?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""The Witch's Curse""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,887,"Which film whose director is younger, Becoming Dick or Nude On The Moon?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Pasquale Festa Campanile""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,891,"Which film has the director who was born later, Vote For Huggett or Romance In The Dark?",1.0,1.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1,"[""Tom Clegg (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,896,"Which film whose director is younger, The Pulse Of Life or The Hungover Games?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Rex Ingram (director)""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,901,"Which film has the director born earlier, More Bloody Meetings or Riders Of The Badlands?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""R. G. Springsteen"", ""Charles Crichton""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,902,"Which film has the director who died later, A Journey Through Filmland or The Shepherd Lassie Of Argyle?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Beaumont Smith"", ""A Journey Through Filmland""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,903,"Which film has the director born later, The Boss And The Worker or Claire'S Knee?",1.0,1.0,0,0.0,0.0,0.0,0.0008,1,0.0,0.0,1.0,1.0,1.0,0.9992,1.0,1.0,1,"[""Claude Weisz""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,910,Are the directors of both films Won In The Clouds and I Died A Thousand Times from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Stuart Heisler""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,926,"Which film has the director born earlier, Carlo Giuliani, Boy or Ned Rifle?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,"[""Francesca Comencini""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,936,"Do both films, Afrika (Film) and Man From The Deep River, have the directors who are from the same country?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"[""Alberto Cavallone""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,937,"Which film has the director who was born first, Yaadein (1964 Film) or The Student'S Romance?",1.0,1.0,0,0.0,0.0,0.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2,"[""Karan Johar"", ""Sunil Dutt""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,942,"Which film whose director was born first, Self-Made Maids or A Day For Lionhearts?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,"[""Jules White"", ""Francesca Comencini""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,947,"Which film has the director who is older than the other, The Inside Man (Film) or Dog'S Heart?",1.0,1.0,0,0.0,0.0,1.0,1.0,1,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,"[""Ringo-en no shōjo""]",0.75,0,0.75,0,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,956,Are the directors of both films Pretty Foe and Goin' Coconuts from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Esmail Koushan"", ""Howard Morris""]",1.0,1,0.75,0,1,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,961,"Which film has the director who died earlier, 11 Harrowhouse or A Little Sister Of Everybody?",1.0,1.0,0,1.0,1.0,1.0,1.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2,"[""Robert Thornby"", ""Aram Avakian""]",1.0,1,0.5,0,2,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,965,Do both films Once Upon A Time In America and Naked Violence (Film) have the directors that share the same nationality?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Sergio Leone"", ""Enzo G. Castellari""]",1.0,1,1.0,1,0,0
2Wiki,2wikimultihopqa_repair_gated_underselect_20260507,rq1_mr2_g010_branchstrict,992,Are both directors of films Spione and Five Million Look For An Heir from the same country?,1.0,1.0,0,1.0,1.0,1.0,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,"[""Konrad Wolf"", ""Carl Boese""]",0.75,0,1.0,1,-1,1
