dataset,base_dataset,query_index,question,primary_bucket,missing_gold_count,source_has_all_missing_gold,rank_fill5_recovered_missing_count,binding_candidate_recovered_missing_count,dbec_greedy_path_recovered_missing_count,dbec_final_recovered_missing_count,rank_added_gold_count,dbec_added_gold_count,dbec_added_non_gold_count,dbec_replaced_rank_gold_count,dbec_final_duplicate_title_count,near_title_substitution_count,near_title_substitution_pairs_json,bucket_counts_json,gold_titles_json,setr_missing_titles_json,setr_titles_json,rank_fill_titles_json,dbec_titles_json,dbec_greedy_path_titles_json,binding_candidate_titles_json,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,repair_gated_net_gold_delta_vs_rank,repair_gated_harmful_replacement
2Wiki,2wikimultihopqa,538,"Which film has the director who died later, The Whisperers or Concert Of Intrigue?",all_missing_gold_recovered_by_dbec,2,1,2,2,1,2,2,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Bryan Forbes"", ""Mario Bonnard"", ""Concert of Intrigue"", ""The Whisperers""]","[""Bryan Forbes"", ""Mario Bonnard""]","[""The Whisperers"", ""Concert of Intrigue""]","[""The Whisperers"", ""Concert of Intrigue"", ""Bryan Forbes"", ""Mario Bonnard"", ""Frank Stauffacher""]","[""Konrad Wolf"", ""Bryan Forbes"", ""Concert of Intrigue"", ""The Whisperers"", ""Mario Bonnard""]","[""Konrad Wolf"", ""Bryan Forbes"", ""Concert of Intrigue"", ""The Whisperers""]","[""Bryan Forbes"", ""Mario Bonnard"", ""Konrad Wolf"", ""Rex Ingram (director)""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,541,Are both directors of films The Pit And The Pendulum (1913 Film) and How Sweet It Is! from the same country?,all_missing_gold_recovered_by_dbec,2,1,2,2,2,2,2,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""How Sweet It Is!"", ""Jerry Paris"", ""The Pit and the Pendulum (1913 film)"", ""Alice Guy-Blaché""]","[""Jerry Paris"", ""Alice Guy-Blaché""]","[""The Pit and the Pendulum (1913 film)"", ""How Sweet It Is!""]","[""The Pit and the Pendulum (1913 film)"", ""How Sweet It Is!"", ""Alice Guy-Blaché"", ""Jerry Paris"", ""André Cayatte""]","[""Alice Guy-Blaché"", ""Jerry Paris"", ""The Pit and the Pendulum (1913 film)"", ""How Sweet It Is!"", ""André Cayatte""]","[""Alice Guy-Blaché"", ""Jerry Paris"", ""The Pit and the Pendulum (1913 film)"", ""How Sweet It Is!""]","[""Alice Guy-Blaché"", ""Jerry Paris""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,542,Do both A Daughter Of Australia (1922 Film) and Autoerotic (Film) films have the directors from the same country?,all_missing_gold_recovered_by_dbec,1,1,1,1,0,1,1,1,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Joe Swanberg"", ""Autoerotic (film)"", ""A Daughter of Australia (1922 film)"", ""Lawson Harris""]","[""Joe Swanberg""]","[""A Daughter of Australia (1922 film)"", ""Autoerotic (film)"", ""Lawson Harris""]","[""A Daughter of Australia (1922 film)"", ""Autoerotic (film)"", ""Lawson Harris"", ""Joe Swanberg"", ""A Maori Maid's Love""]","[""Ian Barry (director)"", ""Autoerotic (film)"", ""A Daughter of Australia (1922 film)"", ""Joe Swanberg"", ""A Maori Maid's Love""]","[""Ian Barry (director)"", ""Autoerotic (film)"", ""A Daughter of Australia (1922 film)""]","[""Lawson Harris"", ""Ian Barry (director)"", ""Joe Swanberg"", ""Ian Barry (director)"", ""Bigas Luna""]",1.0,0.0,-1.0,0,0
2Wiki,2wikimultihopqa,552,"Which film has the director died first, Showdown At Boot Hill or The Walls Of Hell?",all_missing_gold_recovered_by_dbec,1,1,1,0,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""The Walls of Hell"", ""Gene Fowler Jr."", ""Showdown at Boot Hill"", ""Eddie Romero""]","[""The Walls of Hell""]","[""Showdown at Boot Hill"", ""Eddie Romero"", ""Gene Fowler Jr.""]","[""Showdown at Boot Hill"", ""Eddie Romero"", ""Gene Fowler Jr."", ""The Walls of Hell"", ""Brides of Blood""]","[""Eddie Romero"", ""Gene Fowler Jr."", ""The Walls of Hell"", ""Showdown at Boot Hill"", ""Brides of Blood""]","[""Eddie Romero"", ""Gene Fowler Jr."", ""The Walls of Hell"", ""Showdown at Boot Hill""]","[""Gene Fowler Jr."", ""Eddie Romero"", ""Wallace Fox""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,563,"Which film has the director born later, Je Fais Le Mort or Red Roses, Red Lips, Red Wine?",gold_absent_from_source_pool,1,0,0,0,0,0,0,0,2,0,0,0,[],"{""gold_absent_from_source_pool"": 1}","[""Jean-Paul Salomé"", ""Je fais le mort"", ""Paul Martin (director)"", ""Red Roses, Red Lips, Red Wine""]","[""Paul Martin (director)""]","[""Je fais le mort"", ""Red Roses, Red Lips, Red Wine"", ""Jean-Paul Salomé""]","[""Je fais le mort"", ""Red Roses, Red Lips, Red Wine"", ""Jean-Paul Salomé"", ""The Private Secretary (1953 film)"", ""Jean Grémillon""]","[""Jean-Paul Salomé"", ""Red Roses, Red Lips, Red Wine"", ""Je fais le mort"", ""The Private Secretary (1953 film)"", ""Jean Grémillon""]","[""Jean-Paul Salomé"", ""Red Roses, Red Lips, Red Wine"", ""Je fais le mort""]","[""Jean-Paul Salomé""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,564,"Which film has the director who was born later, Five Red Tulips or Laughing At Death?",all_missing_gold_recovered_by_dbec,2,1,2,0,2,2,2,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Jean Stelli"", ""Laughing at Death"", ""Five Red Tulips"", ""Wallace Fox""]","[""Laughing at Death"", ""Five Red Tulips""]","[""Jean Stelli"", ""Wallace Fox""]","[""Jean Stelli"", ""Wallace Fox"", ""Five Red Tulips"", ""Laughing at Death"", ""Laughing at Life""]","[""Jean Stelli"", ""Wallace Fox"", ""Five Red Tulips"", ""Laughing at Death"", ""Laughing at Life""]","[""Jean Stelli"", ""Wallace Fox"", ""Five Red Tulips"", ""Laughing at Death""]","[""Jean Stelli"", ""Wallace Fox""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,566,"Which film has the producer who is older, Aatma Gowravam or Vitti Dandu?",gold_absent_from_source_pool,1,0,0,0,0,0,0,0,2,0,0,0,[],"{""gold_absent_from_source_pool"": 1}","[""Ajay Devgn"", ""Vitti Dandu"", ""D. Madhusudhana Rao"", ""Aatma Gowravam""]","[""Ajay Devgn""]","[""Aatma Gowravam"", ""Vitti Dandu"", ""D. Madhusudhana Rao""]","[""Aatma Gowravam"", ""Vitti Dandu"", ""D. Madhusudhana Rao"", ""Poola Rangadu"", ""K. Raghavendra Rao""]","[""Vitti Dandu"", ""D. Madhusudhana Rao"", ""Aatma Gowravam"", ""Poola Rangadu"", ""K. Raghavendra Rao""]","[""Vitti Dandu"", ""D. Madhusudhana Rao"", ""Aatma Gowravam""]","[""D. Madhusudhana Rao""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,581,"Which film has the director died later, Chad Hanna or The Avenging Shadow?",all_missing_gold_recovered_by_dbec,2,1,2,0,2,2,2,2,2,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Ray Taylor (director)"", ""Henry King (director)"", ""Chad Hanna"", ""The Avenging Shadow""]","[""Chad Hanna"", ""The Avenging Shadow""]","[""Henry King (director)"", ""Ray Taylor (director)""]","[""Henry King (director)"", ""Ray Taylor (director)"", ""Chad Hanna"", ""The Avenging Shadow"", ""The Avenging Arrow""]","[""Edward L. Cahn"", ""The Avenging Shadow"", ""Chad Hanna"", ""Henry King (director)"", ""The Avenging Arrow""]","[""Edward L. Cahn"", ""The Avenging Shadow"", ""Chad Hanna""]",[],0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,584,"Which film whose director was born first, Swamp Women or Tracy Rides?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Roger Corman"", ""Swamp Women"", ""Harry S. Webb"", ""Tracy Rides""]","[""Roger Corman""]","[""Tracy Rides"", ""Swamp Women"", ""Harry S. Webb""]","[""Tracy Rides"", ""Swamp Women"", ""Harry S. Webb"", ""Clancy of the Mounted"", ""The Avenging Rider (1928 film)""]","[""Roger Corman"", ""Harry S. Webb"", ""Tracy Rides"", ""Swamp Women"", ""Clancy of the Mounted""]","[""Roger Corman"", ""Harry S. Webb"", ""Tracy Rides"", ""Swamp Women""]","[""Roger Corman"", ""Harry S. Webb""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,590,"Which film has the director who was born later, Il Diavolo In Convento or The Big Broadcast Of 1936?",gold_absent_from_source_pool,1,0,0,0,0,0,0,0,2,0,0,0,[],"{""gold_absent_from_source_pool"": 1}","[""The Big Broadcast of 1936"", ""Il Diavolo in convento"", ""Norman Taurog"", ""Nunzio Malasomma""]","[""Norman Taurog""]","[""Il Diavolo in convento"", ""Nunzio Malasomma"", ""The Big Broadcast of 1936""]","[""Il Diavolo in convento"", ""Nunzio Malasomma"", ""The Big Broadcast of 1936"", ""The Big Broadcast"", ""Devil in the Flesh (1986 film)""]","[""Frank Tuttle"", ""Nunzio Malasomma"", ""The Big Broadcast of 1936"", ""Il Diavolo in convento"", ""The Big Broadcast""]","[""Frank Tuttle"", ""Nunzio Malasomma"", ""The Big Broadcast of 1936"", ""Il Diavolo in convento""]","[""Nunzio Malasomma"", ""Frank Tuttle""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,592,"Which film has the director died later, Modern Husbands or The Fighting Vigilantes?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Modern Husbands"", ""Ray Taylor (director)"", ""Luis Bayón Herrera"", ""The Fighting Vigilantes""]","[""Ray Taylor (director)""]","[""The Fighting Vigilantes"", ""Modern Husbands"", ""Luis Bayón Herrera""]","[""The Fighting Vigilantes"", ""Modern Husbands"", ""Luis Bayón Herrera"", ""Ray Taylor (director)"", ""Check Your Guns""]","[""Ray Taylor (director)"", ""Luis Bayón Herrera"", ""Modern Husbands"", ""The Fighting Vigilantes"", ""Check Your Guns""]","[""Ray Taylor (director)"", ""Luis Bayón Herrera"", ""Modern Husbands"", ""The Fighting Vigilantes""]","[""Luis Bayón Herrera"", ""Ray Taylor (director)"", ""Robert G. Vignola"", ""George Sherman""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,611,"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",all_missing_gold_recovered_by_dbec,2,1,1,2,2,2,1,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Howard Hawks"", ""Man's Favorite Sport?"", ""Free Hand for a Tough Cop"", ""Umberto Lenzi""]","[""Howard Hawks"", ""Umberto Lenzi""]","[""Free Hand for a Tough Cop"", ""Man's Favorite Sport?""]","[""Free Hand for a Tough Cop"", ""Man's Favorite Sport?"", ""Brothers Till We Die"", ""Howard Hawks"", ""Fernando Di Leo""]","[""Howard Hawks"", ""Umberto Lenzi"", ""Free Hand for a Tough Cop"", ""Man's Favorite Sport?"", ""Brothers Till We Die""]","[""Howard Hawks"", ""Umberto Lenzi"", ""Free Hand for a Tough Cop"", ""Man's Favorite Sport?""]","[""Umberto Lenzi"", ""Howard Hawks""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,616,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",all_missing_gold_recovered_by_dbec,3,1,2,1,3,3,2,3,0,0,0,0,[],"{""gold_recovered_by_dbec_final"": 3}","[""The Man in the Funny Suit"", ""Ralph Nelson"", ""The Devil and Miss Jones"", ""Sam Wood""]","[""The Man in the Funny Suit"", ""Ralph Nelson"", ""The Devil and Miss Jones""]","[""Sam Wood"", ""Charles Coburn""]","[""Sam Wood"", ""Charles Coburn"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""More Bloody Meetings""]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""Charles Coburn""]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones""]","[""Sam Wood"", ""Ralph Nelson""]",0.0,1.0,1.0,1,0
2Wiki,2wikimultihopqa,618,"Which film has the director born earlier, Mummy & Me or Gideon And Samson: Great Leaders Of The Bible?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Mummy & Me"", ""Marcello Baldi"", ""Gideon and Samson: Great Leaders of the Bible"", ""Jeethu Joseph""]","[""Marcello Baldi""]","[""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me"", ""Jeethu Joseph""]","[""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me"", ""Jeethu Joseph"", ""Marcello Baldi"", ""McDull: Me & My Mum""]","[""Jeethu Joseph"", ""Marcello Baldi"", ""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me"", ""McDull: Me & My Mum""]","[""Jeethu Joseph"", ""Marcello Baldi"", ""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me""]","[""Jeethu Joseph"", ""Brian Tse (writer)"", ""TK McKamy"", ""Marcello Baldi""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,619,"Which film has the director who was born first, Everybody'S Hobby or Ghosts Of Abu Ghraib?",all_missing_gold_recovered_by_dbec,2,1,2,1,1,2,2,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Rory Kennedy"", ""Everybody's Hobby"", ""William C. McGann"", ""Ghosts of Abu Ghraib""]","[""Rory Kennedy"", ""Ghosts of Abu Ghraib""]","[""Everybody's Hobby"", ""William C. McGann""]","[""Everybody's Hobby"", ""William C. McGann"", ""Ghosts of Abu Ghraib"", ""Rory Kennedy"", ""Liz Garbus""]","[""Liz Garbus"", ""William C. McGann"", ""Everybody's Hobby"", ""Ghosts of Abu Ghraib"", ""Rory Kennedy""]","[""Liz Garbus"", ""William C. McGann"", ""Everybody's Hobby"", ""Ghosts of Abu Ghraib""]","[""William C. McGann"", ""Rory Kennedy"", ""Liz Garbus""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,625,"Which film whose director is younger, Lucky Cowboy or O.K. Connery?",all_missing_gold_recovered_by_dbec,1,1,1,1,0,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Lucky Cowboy"", ""Alberto De Martino"", ""Josef Berne"", ""O.K. Connery""]","[""Alberto De Martino""]","[""Lucky Cowboy"", ""O.K. Connery"", ""Josef Berne""]","[""Lucky Cowboy"", ""O.K. Connery"", ""Josef Berne"", ""Alberto De Martino"", ""Dr. Goldfoot and the Bikini Machine""]","[""Konrad Wolf"", ""Josef Berne"", ""Lucky Cowboy"", ""O.K. Connery"", ""Alberto De Martino""]","[""Konrad Wolf"", ""Josef Berne"", ""Lucky Cowboy"", ""O.K. Connery""]","[""Josef Berne"", ""Alberto De Martino"", ""Konrad Wolf""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,630,"Which film has the director died later, Tenth Avenue Angel or Brink Of Life?",all_missing_gold_recovered_by_dbec,2,1,2,2,2,2,2,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Tenth Avenue Angel"", ""Brink of Life"", ""Ingmar Bergman"", ""Roy Rowland (film director)""]","[""Ingmar Bergman"", ""Roy Rowland (film director)""]","[""Tenth Avenue Angel"", ""Brink of Life""]","[""Tenth Avenue Angel"", ""Brink of Life"", ""Ingmar Bergman"", ""Angna Enters"", ""Roy Rowland (film director)""]","[""Ingmar Bergman"", ""Roy Rowland (film director)"", ""Brink of Life"", ""Tenth Avenue Angel"", ""Angna Enters""]","[""Ingmar Bergman"", ""Roy Rowland (film director)"", ""Brink of Life"", ""Tenth Avenue Angel""]","[""Roy Rowland (film director)"", ""Ingmar Bergman""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,639,"Which film has the director who was born later, A Case Of Honor or The Raggedy Rawney?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Bob Hoskins"", ""A Case of Honor"", ""The Raggedy Rawney"", ""Eddie Romero""]","[""Eddie Romero""]","[""A Case of Honor"", ""The Raggedy Rawney"", ""Bob Hoskins""]","[""A Case of Honor"", ""The Raggedy Rawney"", ""Bob Hoskins"", ""How Dark the Nights Are on the Black Sea"", ""William A. Wellman""]","[""Eddie Romero"", ""Bob Hoskins"", ""A Case of Honor"", ""The Raggedy Rawney"", ""How Dark the Nights Are on the Black Sea""]","[""Eddie Romero"", ""Bob Hoskins"", ""A Case of Honor"", ""The Raggedy Rawney""]","[""Eddie Romero"", ""Bob Hoskins""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,653,Do director of film Next Of Kin (1982 Film) and director of film Wild Honey (1918 Film) share the same nationality?,gold_absent_from_source_pool,1,0,0,0,0,0,0,0,2,0,0,0,[],"{""gold_absent_from_source_pool"": 1}","[""Wild Honey (1918 film)"", ""Tony Williams (drummer)"", ""Next of Kin (1982 film)"", ""Francis J. Grandon""]","[""Tony Williams (drummer)""]","[""Next of Kin (1982 film)"", ""Wild Honey (1918 film)"", ""Francis J. Grandon""]","[""Next of Kin (1982 film)"", ""Wild Honey (1918 film)"", ""Francis J. Grandon"", ""Victor Sjöström"", ""Júdás""]","[""Francis J. Grandon"", ""Clarence Brown"", ""Wild Honey (1918 film)"", ""Next of Kin (1982 film)"", ""Peter Greenaway""]","[""Francis J. Grandon"", ""Clarence Brown"", ""Wild Honey (1918 film)"", ""Next of Kin (1982 film)"", ""Peter Greenaway""]","[""Francis J. Grandon"", ""Rex Ingram (director)""]",0.0,0.0,0.0,0,0
2Wiki,2wikimultihopqa,669,"Which film has the director who died later, Le Foto Proibite Di Una Signora Per Bene or Licenza Premio?",all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,0,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Luciano Ercoli"", ""Licenza premio"", ""Max Neufeld"", ""Le foto proibite di una signora per bene""]","[""Max Neufeld""]","[""Le foto proibite di una signora per bene"", ""Luciano Ercoli"", ""Licenza premio""]","[""Le foto proibite di una signora per bene"", ""Luciano Ercoli"", ""Licenza premio"", ""A Lizard in a Woman's Skin"", ""Dino Risi""]","[""Luciano Ercoli"", ""Max Neufeld"", ""Licenza premio"", ""Le foto proibite di una signora per bene"", ""A Lizard in a Woman's Skin""]","[""Luciano Ercoli"", ""Max Neufeld"", ""Licenza premio"", ""Le foto proibite di una signora per bene""]","[""Luciano Ercoli"", ""Max Neufeld""]",1.0,1.0,0.0,1,0
2Wiki,2wikimultihopqa,689,"Which film has the director born later, Life Hits or It'S In The Air?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""It's in the Air"", ""Anthony Kimmins"", ""Life Hits"", ""Christian E. Christiansen""]","[""Anthony Kimmins""]","[""Life Hits"", ""It's in the Air"", ""Christian E. Christiansen""]","[""Life Hits"", ""It's in the Air"", ""Christian E. Christiansen"", ""Anthony Kimmins"", ""Ann Hui""]","[""Anthony Kimmins"", ""Christian E. Christiansen"", ""Life Hits"", ""It's in the Air"", ""Ann Hui""]","[""Anthony Kimmins"", ""Christian E. Christiansen"", ""Life Hits"", ""It's in the Air""]","[""Christian E. Christiansen"", ""Anthony Kimmins""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,704,"Which film whose director was born first, Return To Return To Nuke 'Em High Aka Volume 2 or Zameen (2003 Film)?",all_missing_gold_recovered_by_dbec,2,1,2,0,2,2,2,2,2,0,0,1,"[{""dbec_title"": ""Return to Nuke 'Em High Volume 1"", ""missing_gold_title"": ""Return to Return to Nuke 'Em High AKA Volume 2""}]","{""gold_recovered_by_dbec_final"": 2}","[""Zameen (2003 film)"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Rohit Shetty""]","[""Zameen (2003 film)"", ""Return to Return to Nuke 'Em High AKA Volume 2""]","[""Lloyd Kaufman"", ""Rohit Shetty""]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Return to Nuke 'Em High Volume 1"", ""Zameen (2003 film)""]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)"", ""Return to Nuke 'Em High Volume 1""]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)""]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Hassan Zee""]",0.888888888888889,1.0,0.11111111111111105,-1,1
2Wiki,2wikimultihopqa,707,Are the directors of films (Romance) In The Digital Age and Les Misérables (1917 Film) both from the same country?,all_missing_gold_recovered_by_dbec,1,1,0,1,1,1,1,2,0,0,1,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Jason Michael Brescia"", ""Les Misérables (1917 film)"", ""Frank Lloyd"", ""(Romance) in the Digital Age""]","[""Jason Michael Brescia""]","[""(Romance) in the Digital Age"", ""Les Misérables (1917 film)"", ""Frank Lloyd""]","[""(Romance) in the Digital Age"", ""Les Misérables (1917 film)"", ""Frank Lloyd"", ""Les Misérables (1925 film)"", ""Laurent Tirard""]","[""Frank Lloyd"", ""Jason Michael Brescia"", ""(Romance) in the Digital Age"", ""Les Misérables (1917 film)"", ""Les Misérables (1925 film)""]","[""Frank Lloyd"", ""Jason Michael Brescia"", ""(Romance) in the Digital Age"", ""Les Misérables (1917 film)""]","[""Jason Michael Brescia"", ""Frank Lloyd""]",0.0,0.0,0.0,1,0
2Wiki,2wikimultihopqa,708,"Which film has the director who is older than the other, Women'S Weapons or She Wants Me?",all_missing_gold_recovered_by_dbec,2,1,2,2,2,2,2,2,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 2}","[""Women's Weapons"", ""She Wants Me"", ""Rob Margolies"", ""Robert G. Vignola""]","[""Rob Margolies"", ""Robert G. Vignola""]","[""Women's Weapons"", ""She Wants Me""]","[""Women's Weapons"", ""She Wants Me"", ""Rob Margolies"", ""Ann Hui"", ""Robert G. Vignola""]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me"", ""Ann Hui""]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me""]","[""Robert G. Vignola"", ""Rob Margolies""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,716,"Which film has the director born later, Four For Venice or Gypped In The Penthouse?",gold_in_binding_candidates_not_selected,1,1,1,1,0,0,1,0,2,1,0,0,[],"{""gold_in_binding_candidates_not_selected"": 1}","[""Vivian Naefe"", ""Gypped in the Penthouse"", ""Four for Venice"", ""Jules White""]","[""Jules White""]","[""Gypped in the Penthouse"", ""Four for Venice"", ""Vivian Naefe""]","[""Gypped in the Penthouse"", ""Four for Venice"", ""Vivian Naefe"", ""Rip, Sew and Stitch"", ""Jules White""]","[""Gordon Douglas (director)"", ""Vivian Naefe"", ""Four for Venice"", ""Gypped in the Penthouse"", ""Rip, Sew and Stitch""]","[""Gordon Douglas (director)"", ""Vivian Naefe"", ""Four for Venice"", ""Gypped in the Penthouse""]","[""Vivian Naefe"", ""Jules White"", ""Gordon Douglas (director)""]",1.0,1.0,0.0,-1,1
2Wiki,2wikimultihopqa,724,Do director of film An Ideal Woman and director of film Goodbye Emmanuelle share the same nationality?,all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""Goodbye Emmanuelle"", ""François Leterrier"", ""An Ideal Woman"", ""Jean Durand""]","[""Jean Durand""]","[""An Ideal Woman"", ""Goodbye Emmanuelle"", ""François Leterrier""]","[""An Ideal Woman"", ""Goodbye Emmanuelle"", ""François Leterrier"", ""Jean Durand"", ""Claude Sautet""]","[""François Leterrier"", ""Jean Durand"", ""Goodbye Emmanuelle"", ""An Ideal Woman"", ""Claude Sautet""]","[""François Leterrier"", ""Jean Durand"", ""Goodbye Emmanuelle"", ""An Ideal Woman""]","[""Jean Durand"", ""François Leterrier""]",1.0,1.0,0.0,0,0
2Wiki,2wikimultihopqa,726,Do both directors of films The Measure Of All Things and The Time Of Your Life (Film) share the same nationality?,all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""The Measure of All Things"", ""Sam Green"", ""H. C. Potter"", ""The Time of Your Life (film)""]","[""Sam Green""]","[""The Measure of All Things"", ""The Time of Your Life (film)"", ""H. C. Potter""]","[""The Measure of All Things"", ""The Time of Your Life (film)"", ""H. C. Potter"", ""Romance in the Dark"", ""Sam Green""]","[""H. C. Potter"", ""Sam Green"", ""The Measure of All Things"", ""The Time of Your Life (film)"", ""Romance in the Dark""]","[""H. C. Potter"", ""Sam Green"", ""The Measure of All Things"", ""The Time of Your Life (film)""]","[""Sam Green"", ""H. C. Potter""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,735,"Which film whose director is younger, Chased By The Dogs or The Demise Of Herman Durer?",all_missing_gold_recovered_by_dbec,1,1,1,1,1,1,1,1,1,0,0,0,[],"{""gold_recovered_by_dbec_final"": 1}","[""The Demise of Herman Durer"", ""Leon de Winter"", ""Chased by the Dogs"", ""Kamal El Sheikh""]","[""Leon de Winter""]","[""The Demise of Herman Durer"", ""Chased by the Dogs"", ""Kamal El Sheikh""]","[""The Demise of Herman Durer"", ""Chased by the Dogs"", ""Kamal El Sheikh"", ""Leon de Winter"", ""Land of Peace""]","[""Kamal El Sheikh"", ""The Demise of Herman Durer"", ""Leon de Winter"", ""Chased by the Dogs"", ""Land of Peace""]","[""Kamal El Sheikh"", ""The Demise of Herman Durer"", ""Leon de Winter"", ""Chased by the Dogs""]","[""Kamal El Sheikh"", ""Leon de Winter""]",0.0,1.0,1.0,0,0
2Wiki,2wikimultihopqa,742,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",gold_in_binding_candidates_not_selected,2,1,2,2,0,1,2,1,2,1,0,0,[],"{""gold_in_binding_candidates_not_selected"": 1, ""gold_recovered_by_dbec_final"": 1}","[""Boum sur Paris"", ""Toen 't licht verdween"", ""Maurice de Canonge"", ""Maurits Binger""]","[""Maurice de Canonge"", ""Maurits Binger""]","[""Toen 't licht verdween"", ""Boum sur Paris""]","[""Toen 't licht verdween"", ""Boum sur Paris"", ""Maurice de Canonge"", ""Maurits Binger"", ""La Boum""]","[""Claude Weisz"", ""Arne Toonen"", ""Boum sur Paris"", ""Toen 't licht verdween"", ""Maurice de Canonge""]","[""Claude Weisz"", ""Arne Toonen"", ""Boum sur Paris"", ""Toen 't licht verdween""]","[""Maurits Binger"", ""Arne Toonen"", ""Maurice de Canonge"", ""Claude Weisz"", ""Édouard Molinaro"", ""Gérard Oury""]",1.0,1.0,0.0,0,0
