dataset,base_dataset,query_index,question,gold_title,bucket,source_has_gold,source_gold_positions_json,source_best_gold_rank,rank_fill5_has_gold,binding_candidates_have_gold,dbec_greedy_path_has_gold,dbec_final_has_gold,setr_selected_count,gold_doc_count,requirement_count,dependent_req_count,setr_f1,dbec_f1,delta_f1_dbec_minus_setr,rank_fill_positions_json,rank_fill_titles_json,dbec_final_positions_json,dbec_final_titles_json,dbec_greedy_path_positions_json,dbec_greedy_path_titles_json,binding_candidate_positions_json,binding_candidate_titles_json
2Wiki,2wikimultihopqa,592,"Which film has the director died later, Modern Husbands or The Fighting Vigilantes?",Ray Taylor (director),gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""The Fighting Vigilantes"", ""Modern Husbands"", ""Luis Bayón Herrera"", ""Ray Taylor (director)"", ""Check Your Guns""]","[2, 3, 1, 0, 4]","[""Ray Taylor (director)"", ""Luis Bayón Herrera"", ""Modern Husbands"", ""The Fighting Vigilantes"", ""Check Your Guns""]","[2, 3, 1, 0]","[""Ray Taylor (director)"", ""Luis Bayón Herrera"", ""Modern Husbands"", ""The Fighting Vigilantes""]","[3, 2, 10, 99]","[""Luis Bayón Herrera"", ""Ray Taylor (director)"", ""Robert G. Vignola"", ""George Sherman""]"
2Wiki,2wikimultihopqa,611,"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",Howard Hawks,gold_recovered_by_dbec_final,1,[3],3,1,1,1,1,2,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""Free Hand for a Tough Cop"", ""Man's Favorite Sport?"", ""Brothers Till We Die"", ""Howard Hawks"", ""Fernando Di Leo""]","[3, 9, 0, 1, 2]","[""Howard Hawks"", ""Umberto Lenzi"", ""Free Hand for a Tough Cop"", ""Man's Favorite Sport?"", ""Brothers Till We Die""]","[3, 9, 0, 1]","[""Howard Hawks"", ""Umberto Lenzi"", ""Free Hand for a Tough Cop"", ""Man's Favorite Sport?""]","[9, 3]","[""Umberto Lenzi"", ""Howard Hawks""]"
2Wiki,2wikimultihopqa,611,"Which film has the director born first, Free Hand For A Tough Cop or Man'S Favorite Sport??",Umberto Lenzi,gold_recovered_by_dbec_final,1,[9],9,0,1,1,1,2,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""Free Hand for a Tough Cop"", ""Man's Favorite Sport?"", ""Brothers Till We Die"", ""Howard Hawks"", ""Fernando Di Leo""]","[3, 9, 0, 1, 2]","[""Howard Hawks"", ""Umberto Lenzi"", ""Free Hand for a Tough Cop"", ""Man's Favorite Sport?"", ""Brothers Till We Die""]","[3, 9, 0, 1]","[""Howard Hawks"", ""Umberto Lenzi"", ""Free Hand for a Tough Cop"", ""Man's Favorite Sport?""]","[9, 3]","[""Umberto Lenzi"", ""Howard Hawks""]"
2Wiki,2wikimultihopqa,616,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",The Man in the Funny Suit,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,2,4,4,2,0.0,1.0,1.0,"[2, 3, 0, 1, 4]","[""Sam Wood"", ""Charles Coburn"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""More Bloody Meetings""]","[2, 5, 0, 1, 3]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""Charles Coburn""]","[2, 5, 0, 1]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones""]","[2, 5]","[""Sam Wood"", ""Ralph Nelson""]"
2Wiki,2wikimultihopqa,616,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",Ralph Nelson,gold_recovered_by_dbec_final,1,[5],5,0,1,1,1,2,4,4,2,0.0,1.0,1.0,"[2, 3, 0, 1, 4]","[""Sam Wood"", ""Charles Coburn"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""More Bloody Meetings""]","[2, 5, 0, 1, 3]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""Charles Coburn""]","[2, 5, 0, 1]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones""]","[2, 5]","[""Sam Wood"", ""Ralph Nelson""]"
2Wiki,2wikimultihopqa,616,"Which film has the director who was born later, The Devil And Miss Jones or The Man In The Funny Suit?",The Devil and Miss Jones,gold_recovered_by_dbec_final,1,[1],1,1,0,1,1,2,4,4,2,0.0,1.0,1.0,"[2, 3, 0, 1, 4]","[""Sam Wood"", ""Charles Coburn"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""More Bloody Meetings""]","[2, 5, 0, 1, 3]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones"", ""Charles Coburn""]","[2, 5, 0, 1]","[""Sam Wood"", ""Ralph Nelson"", ""The Man in the Funny Suit"", ""The Devil and Miss Jones""]","[2, 5]","[""Sam Wood"", ""Ralph Nelson""]"
2Wiki,2wikimultihopqa,618,"Which film has the director born earlier, Mummy & Me or Gideon And Samson: Great Leaders Of The Bible?",Marcello Baldi,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 3, 2, 4]","[""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me"", ""Jeethu Joseph"", ""Marcello Baldi"", ""McDull: Me & My Mum""]","[3, 2, 0, 1, 4]","[""Jeethu Joseph"", ""Marcello Baldi"", ""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me"", ""McDull: Me & My Mum""]","[3, 2, 0, 1]","[""Jeethu Joseph"", ""Marcello Baldi"", ""Gideon and Samson: Great Leaders of the Bible"", ""Mummy & Me""]","[3, 42, 94, 2]","[""Jeethu Joseph"", ""Brian Tse (writer)"", ""TK McKamy"", ""Marcello Baldi""]"
2Wiki,2wikimultihopqa,619,"Which film has the director who was born first, Everybody'S Hobby or Ghosts Of Abu Ghraib?",Rory Kennedy,gold_recovered_by_dbec_final,1,[2],2,1,1,0,1,2,4,4,2,1.0,1.0,0.0,"[1, 3, 0, 2, 4]","[""Everybody's Hobby"", ""William C. McGann"", ""Ghosts of Abu Ghraib"", ""Rory Kennedy"", ""Liz Garbus""]","[4, 3, 1, 0, 2]","[""Liz Garbus"", ""William C. McGann"", ""Everybody's Hobby"", ""Ghosts of Abu Ghraib"", ""Rory Kennedy""]","[4, 3, 1, 0]","[""Liz Garbus"", ""William C. McGann"", ""Everybody's Hobby"", ""Ghosts of Abu Ghraib""]","[3, 2, 4]","[""William C. McGann"", ""Rory Kennedy"", ""Liz Garbus""]"
2Wiki,2wikimultihopqa,619,"Which film has the director who was born first, Everybody'S Hobby or Ghosts Of Abu Ghraib?",Ghosts of Abu Ghraib,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,2,4,4,2,1.0,1.0,0.0,"[1, 3, 0, 2, 4]","[""Everybody's Hobby"", ""William C. McGann"", ""Ghosts of Abu Ghraib"", ""Rory Kennedy"", ""Liz Garbus""]","[4, 3, 1, 0, 2]","[""Liz Garbus"", ""William C. McGann"", ""Everybody's Hobby"", ""Ghosts of Abu Ghraib"", ""Rory Kennedy""]","[4, 3, 1, 0]","[""Liz Garbus"", ""William C. McGann"", ""Everybody's Hobby"", ""Ghosts of Abu Ghraib""]","[3, 2, 4]","[""William C. McGann"", ""Rory Kennedy"", ""Liz Garbus""]"
2Wiki,2wikimultihopqa,625,"Which film whose director is younger, Lucky Cowboy or O.K. Connery?",Alberto De Martino,gold_recovered_by_dbec_final,1,[2],2,1,1,0,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 3, 2, 4]","[""Lucky Cowboy"", ""O.K. Connery"", ""Josef Berne"", ""Alberto De Martino"", ""Dr. Goldfoot and the Bikini Machine""]","[6, 3, 0, 1, 2]","[""Konrad Wolf"", ""Josef Berne"", ""Lucky Cowboy"", ""O.K. Connery"", ""Alberto De Martino""]","[6, 3, 0, 1]","[""Konrad Wolf"", ""Josef Berne"", ""Lucky Cowboy"", ""O.K. Connery""]","[3, 2, 6]","[""Josef Berne"", ""Alberto De Martino"", ""Konrad Wolf""]"
2Wiki,2wikimultihopqa,630,"Which film has the director died later, Tenth Avenue Angel or Brink Of Life?",Ingmar Bergman,gold_recovered_by_dbec_final,1,[0],0,1,1,1,1,2,4,4,2,1.0,1.0,0.0,"[1, 2, 0, 3, 4]","[""Tenth Avenue Angel"", ""Brink of Life"", ""Ingmar Bergman"", ""Angna Enters"", ""Roy Rowland (film director)""]","[0, 4, 2, 1, 3]","[""Ingmar Bergman"", ""Roy Rowland (film director)"", ""Brink of Life"", ""Tenth Avenue Angel"", ""Angna Enters""]","[0, 4, 2, 1]","[""Ingmar Bergman"", ""Roy Rowland (film director)"", ""Brink of Life"", ""Tenth Avenue Angel""]","[4, 0]","[""Roy Rowland (film director)"", ""Ingmar Bergman""]"
2Wiki,2wikimultihopqa,630,"Which film has the director died later, Tenth Avenue Angel or Brink Of Life?",Roy Rowland (film director),gold_recovered_by_dbec_final,1,[4],4,1,1,1,1,2,4,4,2,1.0,1.0,0.0,"[1, 2, 0, 3, 4]","[""Tenth Avenue Angel"", ""Brink of Life"", ""Ingmar Bergman"", ""Angna Enters"", ""Roy Rowland (film director)""]","[0, 4, 2, 1, 3]","[""Ingmar Bergman"", ""Roy Rowland (film director)"", ""Brink of Life"", ""Tenth Avenue Angel"", ""Angna Enters""]","[0, 4, 2, 1]","[""Ingmar Bergman"", ""Roy Rowland (film director)"", ""Brink of Life"", ""Tenth Avenue Angel""]","[4, 0]","[""Roy Rowland (film director)"", ""Ingmar Bergman""]"
2Wiki,2wikimultihopqa,639,"Which film has the director who was born later, A Case Of Honor or The Raggedy Rawney?",Eddie Romero,gold_recovered_by_dbec_final,1,[59],59,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""A Case of Honor"", ""The Raggedy Rawney"", ""Bob Hoskins"", ""How Dark the Nights Are on the Black Sea"", ""William A. Wellman""]","[59, 2, 0, 1, 3]","[""Eddie Romero"", ""Bob Hoskins"", ""A Case of Honor"", ""The Raggedy Rawney"", ""How Dark the Nights Are on the Black Sea""]","[59, 2, 0, 1]","[""Eddie Romero"", ""Bob Hoskins"", ""A Case of Honor"", ""The Raggedy Rawney""]","[59, 2]","[""Eddie Romero"", ""Bob Hoskins""]"
2Wiki,2wikimultihopqa,653,Do director of film Next Of Kin (1982 Film) and director of film Wild Honey (1918 Film) share the same nationality?,Tony Williams (drummer),gold_absent_from_source_pool,0,[],,0,0,0,0,3,4,4,2,0.0,0.0,0.0,"[0, 1, 2, 3, 4]","[""Next of Kin (1982 film)"", ""Wild Honey (1918 film)"", ""Francis J. Grandon"", ""Victor Sjöström"", ""Júdás""]","[2, 79, 1, 0, 5]","[""Francis J. Grandon"", ""Clarence Brown"", ""Wild Honey (1918 film)"", ""Next of Kin (1982 film)"", ""Peter Greenaway""]","[2, 79, 1, 0, 5]","[""Francis J. Grandon"", ""Clarence Brown"", ""Wild Honey (1918 film)"", ""Next of Kin (1982 film)"", ""Peter Greenaway""]","[2, 9]","[""Francis J. Grandon"", ""Rex Ingram (director)""]"
2Wiki,2wikimultihopqa,669,"Which film has the director who died later, Le Foto Proibite Di Una Signora Per Bene or Licenza Premio?",Max Neufeld,gold_recovered_by_dbec_final,1,[20],20,0,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""Le foto proibite di una signora per bene"", ""Luciano Ercoli"", ""Licenza premio"", ""A Lizard in a Woman's Skin"", ""Dino Risi""]","[1, 20, 3, 0, 2]","[""Luciano Ercoli"", ""Max Neufeld"", ""Licenza premio"", ""Le foto proibite di una signora per bene"", ""A Lizard in a Woman's Skin""]","[1, 20, 3, 0]","[""Luciano Ercoli"", ""Max Neufeld"", ""Licenza premio"", ""Le foto proibite di una signora per bene""]","[1, 20]","[""Luciano Ercoli"", ""Max Neufeld""]"
2Wiki,2wikimultihopqa,689,"Which film has the director born later, Life Hits or It'S In The Air?",Anthony Kimmins,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""Life Hits"", ""It's in the Air"", ""Christian E. Christiansen"", ""Anthony Kimmins"", ""Ann Hui""]","[2, 3, 0, 1, 4]","[""Anthony Kimmins"", ""Christian E. Christiansen"", ""Life Hits"", ""It's in the Air"", ""Ann Hui""]","[2, 3, 0, 1]","[""Anthony Kimmins"", ""Christian E. Christiansen"", ""Life Hits"", ""It's in the Air""]","[3, 2]","[""Christian E. Christiansen"", ""Anthony Kimmins""]"
2Wiki,2wikimultihopqa,704,"Which film whose director was born first, Return To Return To Nuke 'Em High Aka Volume 2 or Zameen (2003 Film)?",Zameen (2003 film),gold_recovered_by_dbec_final,1,[2],2,1,0,1,1,2,4,4,2,0.888888888888889,1.0,0.11111111111111105,"[3, 16, 0, 1, 2]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Return to Nuke 'Em High Volume 1"", ""Zameen (2003 film)""]","[8, 3, 0, 2, 1]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)"", ""Return to Nuke 'Em High Volume 1""]","[8, 3, 0, 2]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)""]","[3, 16, 8]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Hassan Zee""]"
2Wiki,2wikimultihopqa,704,"Which film whose director was born first, Return To Return To Nuke 'Em High Aka Volume 2 or Zameen (2003 Film)?",Return to Return to Nuke 'Em High AKA Volume 2,gold_recovered_by_dbec_final,1,[0],0,1,0,1,1,2,4,4,2,0.888888888888889,1.0,0.11111111111111105,"[3, 16, 0, 1, 2]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Return to Nuke 'Em High Volume 1"", ""Zameen (2003 film)""]","[8, 3, 0, 2, 1]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)"", ""Return to Nuke 'Em High Volume 1""]","[8, 3, 0, 2]","[""Hassan Zee"", ""Lloyd Kaufman"", ""Return to Return to Nuke 'Em High AKA Volume 2"", ""Zameen (2003 film)""]","[3, 16, 8]","[""Lloyd Kaufman"", ""Rohit Shetty"", ""Hassan Zee""]"
2Wiki,2wikimultihopqa,707,Are the directors of films (Romance) In The Digital Age and Les Misérables (1917 Film) both from the same country?,Jason Michael Brescia,gold_recovered_by_dbec_final,1,[11],11,0,1,1,1,3,4,4,2,0.0,0.0,0.0,"[0, 1, 2, 3, 4]","[""(Romance) in the Digital Age"", ""Les Misérables (1917 film)"", ""Frank Lloyd"", ""Les Misérables (1925 film)"", ""Laurent Tirard""]","[2, 11, 0, 1, 3]","[""Frank Lloyd"", ""Jason Michael Brescia"", ""(Romance) in the Digital Age"", ""Les Misérables (1917 film)"", ""Les Misérables (1925 film)""]","[2, 11, 0, 1]","[""Frank Lloyd"", ""Jason Michael Brescia"", ""(Romance) in the Digital Age"", ""Les Misérables (1917 film)""]","[11, 2]","[""Jason Michael Brescia"", ""Frank Lloyd""]"
2Wiki,2wikimultihopqa,708,"Which film has the director who is older than the other, Women'S Weapons or She Wants Me?",Rob Margolies,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,2,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Women's Weapons"", ""She Wants Me"", ""Rob Margolies"", ""Ann Hui"", ""Robert G. Vignola""]","[2, 4, 0, 1, 3]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me"", ""Ann Hui""]","[2, 4, 0, 1]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me""]","[4, 2]","[""Robert G. Vignola"", ""Rob Margolies""]"
2Wiki,2wikimultihopqa,708,"Which film has the director who is older than the other, Women'S Weapons or She Wants Me?",Robert G. Vignola,gold_recovered_by_dbec_final,1,[4],4,1,1,1,1,2,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""Women's Weapons"", ""She Wants Me"", ""Rob Margolies"", ""Ann Hui"", ""Robert G. Vignola""]","[2, 4, 0, 1, 3]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me"", ""Ann Hui""]","[2, 4, 0, 1]","[""Rob Margolies"", ""Robert G. Vignola"", ""Women's Weapons"", ""She Wants Me""]","[4, 2]","[""Robert G. Vignola"", ""Rob Margolies""]"
2Wiki,2wikimultihopqa,716,"Which film has the director born later, Four For Venice or Gypped In The Penthouse?",Jules White,gold_in_binding_candidates_not_selected,1,[4],4,1,1,0,0,3,4,4,2,1.0,1.0,0.0,"[0, 1, 2, 3, 4]","[""Gypped in the Penthouse"", ""Four for Venice"", ""Vivian Naefe"", ""Rip, Sew and Stitch"", ""Jules White""]","[92, 2, 1, 0, 3]","[""Gordon Douglas (director)"", ""Vivian Naefe"", ""Four for Venice"", ""Gypped in the Penthouse"", ""Rip, Sew and Stitch""]","[92, 2, 1, 0]","[""Gordon Douglas (director)"", ""Vivian Naefe"", ""Four for Venice"", ""Gypped in the Penthouse""]","[2, 4, 92]","[""Vivian Naefe"", ""Jules White"", ""Gordon Douglas (director)""]"
2Wiki,2wikimultihopqa,724,Do director of film An Ideal Woman and director of film Goodbye Emmanuelle share the same nationality?,Jean Durand,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 1, 3, 2, 4]","[""An Ideal Woman"", ""Goodbye Emmanuelle"", ""François Leterrier"", ""Jean Durand"", ""Claude Sautet""]","[3, 2, 1, 0, 4]","[""François Leterrier"", ""Jean Durand"", ""Goodbye Emmanuelle"", ""An Ideal Woman"", ""Claude Sautet""]","[3, 2, 1, 0]","[""François Leterrier"", ""Jean Durand"", ""Goodbye Emmanuelle"", ""An Ideal Woman""]","[2, 3]","[""Jean Durand"", ""François Leterrier""]"
2Wiki,2wikimultihopqa,726,Do both directors of films The Measure Of All Things and The Time Of Your Life (Film) share the same nationality?,Sam Green,gold_recovered_by_dbec_final,1,[4],4,1,1,1,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 2, 3, 4]","[""The Measure of All Things"", ""The Time of Your Life (film)"", ""H. C. Potter"", ""Romance in the Dark"", ""Sam Green""]","[2, 4, 0, 1, 3]","[""H. C. Potter"", ""Sam Green"", ""The Measure of All Things"", ""The Time of Your Life (film)"", ""Romance in the Dark""]","[2, 4, 0, 1]","[""H. C. Potter"", ""Sam Green"", ""The Measure of All Things"", ""The Time of Your Life (film)""]","[4, 2]","[""Sam Green"", ""H. C. Potter""]"
2Wiki,2wikimultihopqa,735,"Which film whose director is younger, Chased By The Dogs or The Demise Of Herman Durer?",Leon de Winter,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,0.0,1.0,1.0,"[0, 1, 3, 2, 4]","[""The Demise of Herman Durer"", ""Chased by the Dogs"", ""Kamal El Sheikh"", ""Leon de Winter"", ""Land of Peace""]","[3, 0, 2, 1, 4]","[""Kamal El Sheikh"", ""The Demise of Herman Durer"", ""Leon de Winter"", ""Chased by the Dogs"", ""Land of Peace""]","[3, 0, 2, 1]","[""Kamal El Sheikh"", ""The Demise of Herman Durer"", ""Leon de Winter"", ""Chased by the Dogs""]","[3, 2]","[""Kamal El Sheikh"", ""Leon de Winter""]"
2Wiki,2wikimultihopqa,742,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",Maurice de Canonge,gold_recovered_by_dbec_final,1,[2],2,1,1,0,1,2,4,4,2,1.0,1.0,0.0,"[1, 0, 2, 3, 4]","[""Toen 't licht verdween"", ""Boum sur Paris"", ""Maurice de Canonge"", ""Maurits Binger"", ""La Boum""]","[67, 81, 0, 1, 2]","[""Claude Weisz"", ""Arne Toonen"", ""Boum sur Paris"", ""Toen 't licht verdween"", ""Maurice de Canonge""]","[67, 81, 0, 1]","[""Claude Weisz"", ""Arne Toonen"", ""Boum sur Paris"", ""Toen 't licht verdween""]","[3, 81, 2, 67, 51, 8]","[""Maurits Binger"", ""Arne Toonen"", ""Maurice de Canonge"", ""Claude Weisz"", ""Édouard Molinaro"", ""Gérard Oury""]"
2Wiki,2wikimultihopqa,742,"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",Maurits Binger,gold_in_binding_candidates_not_selected,1,[3],3,1,1,0,0,2,4,4,2,1.0,1.0,0.0,"[1, 0, 2, 3, 4]","[""Toen 't licht verdween"", ""Boum sur Paris"", ""Maurice de Canonge"", ""Maurits Binger"", ""La Boum""]","[67, 81, 0, 1, 2]","[""Claude Weisz"", ""Arne Toonen"", ""Boum sur Paris"", ""Toen 't licht verdween"", ""Maurice de Canonge""]","[67, 81, 0, 1]","[""Claude Weisz"", ""Arne Toonen"", ""Boum sur Paris"", ""Toen 't licht verdween""]","[3, 81, 2, 67, 51, 8]","[""Maurits Binger"", ""Arne Toonen"", ""Maurice de Canonge"", ""Claude Weisz"", ""Édouard Molinaro"", ""Gérard Oury""]"
2Wiki,2wikimultihopqa,756,"Which film whose director was born first, Meri Jung or La Fille Du Torrent?",Meri Jung,gold_recovered_by_dbec_final,1,[1],1,1,0,1,1,2,4,4,2,1.0,1.0,0.0,"[0, 2, 1, 3, 4]","[""La fille du torrent"", ""Subhash Ghai"", ""Meri Jung"", ""Hans Herwig"", ""Dasari Narayana Rao""]","[2, 3, 0, 1, 4]","[""Subhash Ghai"", ""Hans Herwig"", ""La fille du torrent"", ""Meri Jung"", ""Dasari Narayana Rao""]","[2, 3, 0, 1]","[""Subhash Ghai"", ""Hans Herwig"", ""La fille du torrent"", ""Meri Jung""]","[2, 3]","[""Subhash Ghai"", ""Hans Herwig""]"
2Wiki,2wikimultihopqa,756,"Which film whose director was born first, Meri Jung or La Fille Du Torrent?",Hans Herwig,gold_recovered_by_dbec_final,1,[3],3,1,1,1,1,2,4,4,2,1.0,1.0,0.0,"[0, 2, 1, 3, 4]","[""La fille du torrent"", ""Subhash Ghai"", ""Meri Jung"", ""Hans Herwig"", ""Dasari Narayana Rao""]","[2, 3, 0, 1, 4]","[""Subhash Ghai"", ""Hans Herwig"", ""La fille du torrent"", ""Meri Jung"", ""Dasari Narayana Rao""]","[2, 3, 0, 1]","[""Subhash Ghai"", ""Hans Herwig"", ""La fille du torrent"", ""Meri Jung""]","[2, 3]","[""Subhash Ghai"", ""Hans Herwig""]"
2Wiki,2wikimultihopqa,757,Do both directors of films Júdás and The Wilby Conspiracy share the same nationality?,Michael Curtiz,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,3,4,4,2,0.0,0.0,0.0,"[0, 1, 3, 2, 4]","[""Júdás"", ""The Wilby Conspiracy"", ""Rijk de Gooyer"", ""Michael Curtiz"", ""Ralph Nelson""]","[2, 4, 0, 1, 3]","[""Michael Curtiz"", ""Ralph Nelson"", ""Júdás"", ""The Wilby Conspiracy"", ""Rijk de Gooyer""]","[2, 4, 0, 1]","[""Michael Curtiz"", ""Ralph Nelson"", ""Júdás"", ""The Wilby Conspiracy""]","[2, 4, 76]","[""Michael Curtiz"", ""Ralph Nelson"", ""Konrad Wolf""]"
2Wiki,2wikimultihopqa,757,Do both directors of films Júdás and The Wilby Conspiracy share the same nationality?,Ralph Nelson,gold_recovered_by_dbec_final,1,[4],4,1,1,1,1,3,4,4,2,0.0,0.0,0.0,"[0, 1, 3, 2, 4]","[""Júdás"", ""The Wilby Conspiracy"", ""Rijk de Gooyer"", ""Michael Curtiz"", ""Ralph Nelson""]","[2, 4, 0, 1, 3]","[""Michael Curtiz"", ""Ralph Nelson"", ""Júdás"", ""The Wilby Conspiracy"", ""Rijk de Gooyer""]","[2, 4, 0, 1]","[""Michael Curtiz"", ""Ralph Nelson"", ""Júdás"", ""The Wilby Conspiracy""]","[2, 4, 76]","[""Michael Curtiz"", ""Ralph Nelson"", ""Konrad Wolf""]"
2Wiki,2wikimultihopqa,769,"Which film has the director who was born later, It'S A Bikini World or A Moment Of Romance?",Stephanie Rothman,gold_recovered_by_dbec_final,1,[26],26,0,1,1,1,3,4,4,2,1.0,0.0,-1.0,"[1, 0, 5, 2, 3]","[""It's a Bikini World"", ""A Moment of Romance"", ""Benny Chan (film director)"", ""A Moment of Romance II"", ""A Moment of Romance III""]","[3, 26, 1, 0, 2]","[""A Moment of Romance III"", ""Stephanie Rothman"", ""It's a Bikini World"", ""A Moment of Romance"", ""A Moment of Romance II""]","[3, 26, 1]","[""A Moment of Romance III"", ""Stephanie Rothman"", ""It's a Bikini World""]","[26, 3, 5, 2]","[""Stephanie Rothman"", ""A Moment of Romance III"", ""Benny Chan (film director)"", ""A Moment of Romance II""]"
2Wiki,2wikimultihopqa,781,"Which film has the director who was born earlier, Pod Banderą Miłości or World In My Corner?",Jesse Hibbs,gold_recovered_by_dbec_final,1,[3],3,1,1,1,1,2,4,4,2,0.0,1.0,1.0,"[1, 0, 2, 3, 4]","[""Pod banderą miłości"", ""World in My Corner"", ""Michał Waszyński"", ""Jesse Hibbs"", ""Charles Vidor""]","[2, 3, 1, 0, 4]","[""Michał Waszyński"", ""Jesse Hibbs"", ""Pod banderą miłości"", ""World in My Corner"", ""Charles Vidor""]","[2, 3, 1, 0]","[""Michał Waszyński"", ""Jesse Hibbs"", ""Pod banderą miłości"", ""World in My Corner""]","[2, 3]","[""Michał Waszyński"", ""Jesse Hibbs""]"
2Wiki,2wikimultihopqa,781,"Which film has the director who was born earlier, Pod Banderą Miłości or World In My Corner?",Michał Waszyński,gold_recovered_by_dbec_final,1,[2],2,1,1,1,1,2,4,4,2,0.0,1.0,1.0,"[1, 0, 2, 3, 4]","[""Pod banderą miłości"", ""World in My Corner"", ""Michał Waszyński"", ""Jesse Hibbs"", ""Charles Vidor""]","[2, 3, 1, 0, 4]","[""Michał Waszyński"", ""Jesse Hibbs"", ""Pod banderą miłości"", ""World in My Corner"", ""Charles Vidor""]","[2, 3, 1, 0]","[""Michał Waszyński"", ""Jesse Hibbs"", ""Pod banderą miłości"", ""World in My Corner""]","[2, 3]","[""Michał Waszyński"", ""Jesse Hibbs""]"
2Wiki,2wikimultihopqa,787,"Which film whose director was born first, Bhaji On The Beach or Bugsy?",Bhaji on the Beach,gold_recovered_by_dbec_final,1,[1],1,1,0,1,1,3,4,4,2,1.0,1.0,0.0,"[0, 2, 3, 1, 4]","[""Gurinder Chadha"", ""Bugsy"", ""Barry Levinson"", ""Bhaji on the Beach"", ""Johanna ter Steege""]","[0, 3, 2, 1, 4]","[""Gurinder Chadha"", ""Barry Levinson"", ""Bugsy"", ""Bhaji on the Beach"", ""Johanna ter Steege""]","[0, 3, 2, 1]","[""Gurinder Chadha"", ""Barry Levinson"", ""Bugsy"", ""Bhaji on the Beach""]","[0, 3]","[""Gurinder Chadha"", ""Barry Levinson""]"
